task_id,deadline_days,effort,impact,workload,priority_score,priority_label
355,20,8,6,2,2.9,Medium
358,8,15,4,5,2.75,Medium
362,11,8,7,7,4.627272727,Medium
364,29,11,9,3,3.334482759,Medium
365,19,6,5,6,2.878947368,Medium
367,12,19,8,7,2.7,Medium
368,21,4,4,8,2.628571429,Medium
371,14,9,8,6,4.342857143,Medium
372,29,2,4,1,2.634482759,Medium
375,22,4,5,5,3.063636364,Medium
376,13,11,6,8,3.107692308,Medium
378,12,11,4,4,2.3,Medium
379,12,3,3,5,3.4,Medium
380,27,5,9,5,4.611111111,Medium
382,24,7,7,3,3.35,Medium
383,8,14,6,7,3.95,Medium
388,29,9,6,8,2.234482759,Medium
390,19,9,5,8,2.278947368,Medium
400,15,15,7,7,2.5,Medium
402,13,8,6,2,3.707692308,Medium
403,8,3,2,8,4.15,Medium
404,8,19,9,8,4.45,Medium
405,12,8,5,4,3.4,Medium
406,10,13,7,5,3.9,Medium
412,27,12,8,5,2.711111111,Medium
413,21,6,7,5,3.728571429,Medium
418,15,9,8,1,4.2,Medium
425,23,8,6,6,2.704347826,Medium
426,18,6,5,7,2.966666667,Medium
427,17,9,7,6,3.464705882,Medium
430,21,14,7,6,2.128571429,Medium
431,21,16,8,4,2.228571429,Medium
433,18,1,3,7,2.966666667,Medium
437,25,7,6,4,2.8,Medium
438,8,9,1,1,2.45,Medium
440,15,11,9,3,4.3,Medium
442,13,13,8,9,3.707692308,Medium
445,25,4,5,8,2.9,Medium
447,13,13,6,8,2.707692308,Medium
449,12,11,8,7,4.3,Medium
450,12,11,5,2,2.8,Medium
453,17,8,5,6,2.664705882,Medium
454,13,4,4,2,3.507692308,Medium
457,26,5,7,3,3.653846154,Medium
459,27,13,8,7,2.511111111,Medium
461,9,16,4,4,2.133333333,Medium
465,19,9,6,2,2.778947368,Medium
466,24,3,3,4,2.15,Medium
467,8,14,7,2,4.45,Medium
468,12,8,4,2,2.9,Medium
469,12,14,6,5,2.7,Medium
470,24,1,7,3,4.55,Medium
472,21,3,8,4,4.828571429,Medium
473,14,4,7,1,4.842857143,Medium
474,17,7,6,2,3.364705882,Medium
477,19,3,6,8,3.978947368,Medium
478,6,19,7,9,4.7,Medium
479,21,7,8,1,4.028571429,Medium
488,10,8,6,2,4.4,Medium
490,8,19,5,1,2.45,Medium
493,21,4,5,3,3.128571429,Medium
496,14,15,9,2,3.642857143,Medium
497,13,13,7,5,3.207692308,Medium
498,20,1,4,3,3.3,Medium
500,27,3,7,3,4.011111111,Medium
501,9,3,4,9,4.733333333,Medium
502,25,12,8,4,2.8,Medium
505,20,14,9,9,3.2,Medium
507,13,6,3,3,2.607692308,Medium
514,17,8,4,8,2.164705882,Medium
515,24,8,7,6,3.15,Medium
516,25,17,9,7,2.3,Medium
519,23,5,6,3,3.304347826,Medium
521,22,5,7,5,3.863636364,Medium
523,28,4,5,5,2.771428571,Medium
527,20,3,4,8,2.9,Medium
528,16,5,4,8,2.875,Medium
529,9,19,8,2,3.533333333,Medium
530,17,7,9,4,4.864705882,Medium
536,9,6,3,4,3.633333333,Medium
539,11,4,5,7,4.427272727,Medium
542,18,2,5,2,3.766666667,Medium
545,20,13,7,9,2.4,Medium
548,7,16,4,3,3.085714286,Medium
554,21,18,9,9,2.328571429,Medium
558,10,4,3,5,3.7,Medium
559,13,8,6,2,3.707692308,Medium
566,9,2,1,5,3.433333333,Medium
572,26,18,9,9,2.053846154,Medium
573,11,13,4,2,2.127272727,Medium
583,20,7,5,1,2.6,Medium
584,10,10,6,5,4,Medium
589,27,2,3,6,2.211111111,Medium
590,24,13,8,4,2.65,Medium
592,8,15,4,5,2.75,Medium
593,15,14,7,4,2.7,Medium
594,16,12,7,6,2.975,Medium
595,7,14,3,3,2.985714286,Medium
599,11,5,6,1,4.727272727,Medium
600,10,5,6,5,5,Medium
601,20,4,5,4,3.2,Medium
603,27,2,8,9,4.711111111,Medium
605,18,16,9,3,2.966666667,Medium
611,23,4,6,1,3.504347826,Medium
612,16,15,7,9,2.375,Medium
614,28,17,9,7,2.171428571,Medium
615,20,1,5,6,3.8,Medium
620,26,10,7,7,2.653846154,Medium
625,12,11,6,3,3.3,Medium
629,17,11,5,2,2.064705882,Medium
630,7,3,2,2,4.685714286,Medium
633,22,17,9,5,2.463636364,Medium
634,22,8,8,3,3.763636364,Medium
639,24,17,9,5,2.35,Medium
643,6,17,3,7,3.1,Medium
647,20,4,7,9,4.2,Medium
649,21,6,8,9,4.228571429,Medium
652,22,7,6,6,2.963636364,Medium
654,21,9,8,7,3.628571429,Medium
657,16,8,7,9,3.775,Medium
658,14,2,3,8,3.242857143,Medium
659,8,19,6,8,2.95,Medium
663,5,19,4,1,4.2,Medium
664,26,4,8,8,4.353846154,Medium
666,5,16,4,5,4.8,Medium
667,23,5,9,6,4.804347826,Medium
669,9,2,1,2,3.433333333,Medium
674,16,14,7,1,2.575,Medium
675,10,13,5,4,2.9,Medium
678,15,6,6,2,3.8,Medium
679,21,3,5,1,3.328571429,Medium
681,18,6,9,6,4.966666667,Medium
683,13,9,5,2,3.007692308,Medium
684,8,15,6,7,3.75,Medium
686,12,13,5,1,2.4,Medium
687,21,4,3,5,2.128571429,Medium
695,23,6,4,3,2.104347826,Medium
700,13,10,7,4,3.807692308,Medium
702,21,3,4,2,2.828571429,Medium
706,16,10,9,3,4.375,Medium
708,7,17,3,4,2.385714286,Medium
710,6,16,5,4,4.3,Medium
711,28,3,4,6,2.471428571,Medium
713,21,14,8,4,2.628571429,Medium
717,13,4,6,8,4.507692308,Medium
718,11,6,6,2,4.527272727,Medium
720,8,17,4,7,2.35,Medium
724,9,9,5,7,4.033333333,Medium
731,13,3,3,4,3.207692308,Medium
732,18,4,6,7,3.866666667,Medium
733,21,9,5,1,2.128571429,Medium
736,25,8,6,9,2.6,Medium
740,28,2,5,2,3.171428571,Medium
741,21,10,8,5,3.428571429,Medium
743,7,13,5,3,4.185714286,Medium
745,8,7,3,4,3.85,Medium
749,18,9,9,6,4.366666667,Medium
751,13,1,2,1,3.107692308,Medium
753,13,11,5,7,2.607692308,Medium
754,11,7,3,1,2.827272727,Medium
756,18,2,5,7,3.766666667,Medium
757,23,3,5,6,3.204347826,Medium
758,20,15,8,5,2.5,Medium
759,15,17,8,8,2.6,Medium
761,11,12,9,4,4.827272727,Medium
762,22,7,8,6,3.963636364,Medium
763,22,3,4,8,2.763636364,Medium
764,24,7,5,2,2.35,Medium
767,7,17,6,9,3.885714286,Medium
770,20,4,6,4,3.7,Medium
771,20,10,7,3,3,Medium
774,13,16,9,6,3.607692308,Medium
775,16,12,7,8,2.975,Medium
776,20,6,9,1,4.8,Medium
778,25,3,7,4,4.1,Medium
780,8,17,4,3,2.35,Medium
782,9,6,1,6,2.633333333,Medium
783,26,9,6,4,2.353846154,Medium
784,27,3,7,3,4.011111111,Medium
787,25,2,8,3,4.8,Medium
788,9,19,7,9,3.033333333,Medium
791,28,8,7,3,2.971428571,Medium
793,22,4,4,9,2.563636364,Medium
795,25,3,5,2,3.1,Medium
796,6,14,4,7,4.2,Medium
797,11,15,8,4,3.727272727,Medium
798,12,4,4,5,3.7,Medium
800,21,4,5,7,3.128571429,Medium
808,13,8,6,6,3.707692308,Medium
810,15,9,6,3,3.2,Medium
813,8,16,8,2,4.55,Medium
822,13,10,4,3,2.307692308,Medium
823,11,4,4,2,3.927272727,Medium
824,18,19,9,4,2.366666667,Medium
825,28,2,6,1,3.671428571,Medium
828,28,8,6,4,2.471428571,Medium
836,17,8,5,2,2.664705882,Medium
839,15,12,5,6,2.1,Medium
840,14,6,8,1,4.942857143,Medium
841,11,6,2,8,2.527272727,Medium
842,12,6,5,2,3.8,Medium
845,11,4,4,6,3.927272727,Medium
847,9,10,3,1,2.833333333,Medium
848,24,13,7,5,2.15,Medium
850,27,11,8,9,2.911111111,Medium
853,16,1,4,7,3.675,Medium
855,17,3,3,6,2.664705882,Medium
858,24,4,8,3,4.45,Medium
859,14,5,3,4,2.642857143,Medium
860,17,4,5,3,3.464705882,Medium
861,29,2,7,7,4.134482759,Medium
865,11,2,2,5,3.327272727,Medium
867,11,8,6,7,4.127272727,Medium
868,11,3,5,7,4.627272727,Medium
869,21,17,8,7,2.028571429,Medium
870,12,7,3,9,2.6,Medium
874,29,2,8,9,4.634482759,Medium
876,6,5,2,4,5,Medium
884,12,7,2,8,2.1,Medium
885,11,13,7,6,3.627272727,Medium
887,11,13,9,7,4.627272727,Medium
888,25,8,9,1,4.1,Medium
891,11,4,4,6,3.927272727,Medium
894,26,5,6,2,3.153846154,Medium
897,10,10,4,5,3,Medium
900,25,8,5,5,2.1,Medium
906,12,3,5,8,4.4,Medium
908,15,2,1,2,2.1,Medium
910,25,6,9,5,4.5,Medium
912,8,14,4,6,2.95,Medium
913,27,4,4,9,2.311111111,Medium
918,26,7,5,1,2.253846154,Medium
920,24,4,4,4,2.45,Medium
927,28,4,4,2,2.271428571,Medium
931,17,1,6,5,4.564705882,Medium
932,21,10,8,8,3.428571429,Medium
933,7,15,4,9,3.285714286,Medium
934,9,7,4,2,3.933333333,Medium
937,8,12,2,9,2.35,Medium
941,18,2,4,6,3.266666667,Medium
944,24,6,6,1,3.05,Medium
945,8,19,6,5,2.95,Medium
951,21,6,8,9,4.228571429,Medium
954,12,10,6,1,3.5,Medium
956,13,8,7,8,4.207692308,Medium
961,27,17,9,6,2.211111111,Medium
967,6,9,1,8,3.7,Medium
968,12,16,7,9,2.8,Medium
971,24,2,7,6,4.35,Medium
972,5,14,1,1,3.7,Medium
974,26,3,8,1,4.553846154,Medium
975,23,8,5,2,2.204347826,Medium
976,7,8,4,9,4.685714286,Medium
977,12,18,7,1,2.4,Medium
978,20,8,6,5,2.9,Medium
982,9,9,4,1,3.533333333,Medium
984,15,17,7,8,2.1,Medium
987,20,3,3,5,2.4,Medium
989,16,13,8,7,3.275,Medium
992,12,10,8,1,4.5,Medium
994,17,4,5,2,3.464705882,Medium
995,24,3,7,3,4.15,Medium
996,8,14,5,5,3.45,Medium
1000,19,11,7,3,2.878947368,Medium
1002,26,8,5,6,2.053846154,Medium
1004,20,3,5,9,3.4,Medium
1005,23,3,6,8,3.704347826,Medium
1007,11,16,9,3,4.027272727,Medium
1011,18,8,8,3,4.066666667,Medium
1013,18,15,8,4,2.666666667,Medium
1015,22,5,8,9,4.363636364,Medium
1016,14,3,1,9,2.042857143,Medium
1017,5,18,3,7,3.9,Medium
1018,8,16,4,5,2.55,Medium
1019,27,5,6,2,3.111111111,Medium
1021,14,10,6,1,3.142857143,Medium
1023,27,6,7,1,3.411111111,Medium
1025,10,18,6,8,2.4,Medium
1027,12,4,6,1,4.7,Medium
1031,19,9,6,7,2.778947368,Medium
1033,13,8,5,3,3.207692308,Medium
1034,21,7,5,1,2.528571429,Medium
1035,15,9,9,6,4.7,Medium
1036,20,4,3,7,2.2,Medium
1038,17,10,7,1,3.264705882,Medium
1042,15,9,8,2,4.2,Medium
1043,17,4,5,5,3.464705882,Medium
1047,18,17,8,1,2.266666667,Medium
1048,14,7,4,6,2.742857143,Medium
1051,22,3,3,6,2.263636364,Medium
1052,6,17,1,5,2.1,Medium
1053,29,5,7,3,3.534482759,Medium
1055,27,5,6,8,3.111111111,Medium
1057,10,8,3,4,2.9,Medium
1061,23,7,5,9,2.404347826,Medium
1062,25,8,7,6,3.1,Medium
1065,11,5,1,8,2.227272727,Medium
1071,12,11,4,6,2.3,Medium
1072,7,4,3,9,4.985714286,Medium
1073,29,3,8,8,4.434482759,Medium
1076,16,3,4,1,3.275,Medium
1086,21,6,6,8,3.228571429,Medium
1089,16,10,6,8,2.875,Medium
1090,11,7,5,3,3.827272727,Medium
1093,19,4,3,9,2.278947368,Medium
1098,22,15,9,3,2.863636364,Medium
1099,9,5,4,7,4.333333333,Medium
1101,16,19,8,9,2.075,Medium
1103,28,7,5,3,2.171428571,Medium
1104,20,10,6,6,2.5,Medium
1105,20,10,8,4,3.5,Medium
1113,9,18,6,1,2.733333333,Medium
1114,11,9,6,9,3.927272727,Medium
1116,28,13,9,6,2.971428571,Medium
1117,14,10,7,9,3.642857143,Medium
1118,29,10,6,1,2.034482759,Medium
1121,23,8,6,8,2.704347826,Medium
1125,21,4,6,4,3.628571429,Medium
1126,10,6,5,1,4.3,Medium
1127,28,2,4,1,2.671428571,Medium
1128,21,2,2,2,2.028571429,Medium
1131,25,15,8,6,2.2,Medium
1137,15,3,2,1,2.4,Medium
1139,20,6,6,2,3.3,Medium
1143,27,1,5,9,3.411111111,Medium
1147,16,6,6,8,3.675,Medium
1148,22,5,6,6,3.363636364,Medium
1149,25,2,5,5,3.3,Medium
1152,10,17,5,5,2.1,Medium
1155,17,2,3,8,2.864705882,Medium
1160,18,10,8,6,3.666666667,Medium
1163,8,9,5,2,4.45,Medium
1166,8,8,4,6,4.15,Medium
1167,17,5,4,5,2.764705882,Medium
1168,10,7,1,2,2.1,Medium
1169,10,13,4,1,2.4,Medium
1170,21,11,9,2,3.728571429,Medium
1171,16,8,4,9,2.275,Medium
1172,27,11,7,9,2.411111111,Medium
1173,14,1,6,4,4.942857143,Medium
1174,25,10,9,2,3.7,Medium
1175,25,3,6,8,3.6,Medium
1176,7,9,4,1,4.485714286,Medium
1177,22,11,8,4,3.163636364,Medium
1178,19,8,7,1,3.478947368,Medium
1182,16,11,9,7,4.175,Medium
1183,29,13,9,2,2.934482759,Medium
1184,8,10,3,8,3.25,Medium
1185,22,11,7,6,2.663636364,Medium
1187,22,5,5,6,2.863636364,Medium
1188,25,12,8,5,2.8,Medium
1189,15,10,7,8,3.5,Medium
1190,21,11,9,8,3.728571429,Medium
1191,22,3,7,4,4.263636364,Medium
1195,26,5,5,8,2.653846154,Medium
1198,11,6,1,4,2.027272727,Medium
1199,29,12,8,5,2.634482759,Medium
1200,13,6,7,7,4.607692308,Medium
1202,9,12,3,9,2.433333333,Medium
1204,20,2,3,6,2.6,Medium
1208,17,6,3,7,2.064705882,Medium
1210,19,3,4,9,2.978947368,Medium
1213,17,2,4,5,3.364705882,Medium
1218,26,9,9,7,3.853846154,Medium
1219,12,7,4,3,3.1,Medium
1220,25,16,9,1,2.5,Medium
1222,19,9,8,1,3.778947368,Medium
1223,10,2,1,8,3.1,Medium
1228,10,11,3,9,2.3,Medium
1232,19,16,9,1,2.878947368,Medium
1234,12,13,8,5,3.9,Medium
1237,19,12,7,3,2.678947368,Medium
1238,19,5,5,8,3.078947368,Medium
1239,11,10,5,2,3.227272727,Medium
1240,29,3,5,5,2.934482759,Medium
1247,16,15,8,6,2.875,Medium
1248,16,7,4,9,2.475,Medium
1249,12,6,7,7,4.8,Medium
1250,21,3,7,6,4.328571429,Medium
1251,5,8,1,1,4.9,Medium
1253,21,9,5,3,2.128571429,Medium
1254,7,15,3,9,2.785714286,Medium
1256,8,4,2,5,3.95,Medium
1258,26,4,8,6,4.353846154,Medium
1261,15,10,6,2,3,Medium
1262,25,18,9,5,2.1,Medium
1263,25,2,5,7,3.3,Medium
1264,12,6,4,7,3.3,Medium
1266,12,19,8,2,2.7,Medium
1267,27,11,9,6,3.411111111,Medium
1268,27,8,6,1,2.511111111,Medium
1269,10,5,2,3,3,Medium
1272,17,12,7,6,2.864705882,Medium
1273,6,17,6,7,4.6,Medium
1275,28,12,7,4,2.171428571,Medium
1277,16,19,9,4,2.575,Medium
1279,6,15,5,8,4.5,Medium
1281,14,18,8,2,2.542857143,Medium
1286,26,8,7,7,3.053846154,Medium
1287,21,11,7,9,2.728571429,Medium
1288,10,13,6,5,3.4,Medium
1292,29,6,9,1,4.334482759,Medium
1293,26,9,8,5,3.353846154,Medium
1295,14,14,9,5,3.842857143,Medium
1296,17,4,3,8,2.464705882,Medium
1297,21,8,9,6,4.328571429,Medium
1301,14,11,8,8,3.942857143,Medium
1305,27,13,9,1,3.011111111,Medium
1306,29,2,6,3,3.634482759,Medium
1307,28,8,7,6,2.971428571,Medium
1308,18,3,5,5,3.566666667,Medium
1311,11,7,6,2,4.327272727,Medium
1312,6,9,3,8,4.7,Medium
1313,12,9,5,3,3.2,Medium
1314,23,3,7,1,4.204347826,Medium
1318,18,4,5,3,3.366666667,Medium
1320,10,18,6,2,2.4,Medium
1321,14,13,7,1,3.042857143,Medium
1323,27,13,9,9,3.011111111,Medium
1324,6,10,4,9,5,Medium
1329,9,13,4,8,2.733333333,Medium
1330,23,6,4,5,2.104347826,Medium
1331,22,4,5,1,3.063636364,Medium
1335,8,15,4,4,2.75,Medium
1339,18,14,8,3,2.866666667,Medium
1340,13,13,9,2,4.207692308,Medium
1346,15,10,9,3,4.5,Medium
1347,10,9,6,2,4.2,Medium
1348,28,6,8,4,3.871428571,Medium
1350,28,11,8,3,2.871428571,Medium
1351,17,3,7,4,4.664705882,Medium
1354,8,9,4,9,3.95,Medium
1359,27,4,5,7,2.811111111,Medium
1360,20,19,9,6,2.2,Medium
1361,28,5,6,5,3.071428571,Medium
1362,25,15,8,1,2.2,Medium
1365,26,15,9,1,2.653846154,Medium
1370,7,9,4,2,4.485714286,Medium
1371,12,12,6,4,3.1,Medium
1374,27,7,9,8,4.211111111,Medium
1375,15,8,5,8,2.9,Medium
1376,22,5,7,1,3.863636364,Medium
1378,10,3,5,3,4.9,Medium
1379,21,4,7,2,4.128571429,Medium
1380,26,8,7,3,3.053846154,Medium
1383,9,14,8,7,4.533333333,Medium
1386,9,14,6,5,3.533333333,Medium
1391,11,13,8,1,4.127272727,Medium
1393,14,16,8,5,2.942857143,Medium
1395,21,14,9,2,3.128571429,Medium
1399,17,1,1,7,2.064705882,Medium
1400,13,3,2,7,2.707692308,Medium
1401,11,3,3,2,3.627272727,Medium
1402,9,14,8,6,4.533333333,Medium
1403,19,12,6,1,2.178947368,Medium
1404,21,2,3,2,2.528571429,Medium
1405,24,12,8,5,2.85,Medium
1410,8,18,6,1,3.15,Medium
1412,27,7,9,2,4.211111111,Medium
1415,6,12,3,5,4.1,Medium
1416,22,5,5,5,2.863636364,Medium
1418,9,7,6,2,4.933333333,Medium
1420,15,11,9,3,4.3,Medium
1422,25,1,8,5,5,Medium
1425,10,18,6,9,2.4,Medium
1430,9,16,8,7,4.133333333,Medium
1435,17,10,6,1,2.764705882,Medium
1436,5,12,2,6,4.6,Medium
1437,25,2,6,3,3.8,Medium
1438,12,1,4,5,4.3,Medium
1440,17,1,5,2,4.064705882,Medium
1441,25,4,9,9,4.9,Medium
1443,14,8,3,6,2.042857143,Medium
1445,13,4,2,1,2.507692308,Medium
1450,13,11,6,8,3.107692308,Medium
1451,17,14,9,9,3.464705882,Medium
1453,7,18,5,9,3.185714286,Medium
1457,19,4,4,5,2.778947368,Medium
1460,17,1,5,2,4.064705882,Medium
1464,9,6,1,7,2.633333333,Medium
1470,25,3,3,4,2.1,Medium
1471,22,6,6,7,3.163636364,Medium
1473,14,12,6,9,2.742857143,Medium
1475,13,3,5,4,4.207692308,Medium
1476,16,4,4,6,3.075,Medium
1482,10,9,7,9,4.7,Medium
1483,22,2,3,8,2.463636364,Medium
1489,14,6,6,7,3.942857143,Medium
1490,15,4,5,3,3.7,Medium
1491,12,13,5,6,2.4,Medium
1494,26,4,7,3,3.853846154,Medium
1499,16,7,9,9,4.975,Medium
1500,26,4,9,2,4.853846154,Medium
1501,14,6,3,3,2.442857143,Medium
1502,21,10,8,5,3.428571429,Medium
1505,10,18,9,4,3.9,Medium
1506,9,13,6,9,3.733333333,Medium
1507,12,8,7,3,4.4,Medium
1508,6,12,1,9,3.1,Medium
1510,15,16,9,3,3.3,Medium
1516,18,18,8,4,2.066666667,Medium
1521,15,7,7,2,4.1,Medium
1522,26,11,9,3,3.453846154,Medium
1523,19,5,6,8,3.578947368,Medium
1527,7,13,1,8,2.185714286,Medium
1529,26,11,9,3,3.453846154,Medium
1530,7,11,1,4,2.585714286,Medium
1531,11,8,7,4,4.627272727,Medium
1533,15,9,8,4,4.2,Medium
1534,25,6,9,7,4.5,Medium
1535,26,9,9,4,3.853846154,Medium
1536,23,6,8,4,4.104347826,Medium
1537,10,10,8,9,5,Medium
1539,12,19,7,5,2.2,Medium
1541,25,5,7,5,3.7,Medium
1542,10,6,5,8,4.3,Medium
1544,28,15,9,7,2.571428571,Medium
1545,11,3,2,4,3.127272727,Medium
1551,11,2,3,3,3.827272727,Medium
1552,10,6,4,5,3.8,Medium
1553,24,1,3,9,2.55,Medium
1555,19,11,9,2,3.878947368,Medium
1556,22,2,7,5,4.463636364,Medium
1557,26,7,5,3,2.253846154,Medium
1558,14,4,2,4,2.342857143,Medium
1559,26,18,9,8,2.053846154,Medium
1562,25,7,5,6,2.3,Medium
1563,10,10,5,5,3.5,Medium
1564,16,4,6,5,4.075,Medium
1567,21,14,9,3,3.128571429,Medium
1568,5,18,1,9,2.9,Medium
1572,20,8,9,3,4.4,Medium
1576,16,4,7,7,4.575,Medium
1578,5,15,4,3,5,Medium
1582,7,9,2,1,3.485714286,Medium
1583,8,13,4,8,3.15,Medium
1586,15,7,4,7,2.6,Medium
1588,16,5,5,1,3.375,Medium
1594,23,2,3,6,2.404347826,Medium
1600,9,16,4,4,2.133333333,Medium
1602,19,17,9,6,2.678947368,Medium
1603,10,19,7,5,2.7,Medium
1608,9,15,7,7,3.833333333,Medium
1611,12,9,6,5,3.7,Medium
1613,7,18,7,9,4.185714286,Medium
1615,17,15,7,8,2.264705882,Medium
1616,16,12,8,6,3.475,Medium
1620,14,6,8,5,4.942857143,Medium
1621,23,4,6,9,3.504347826,Medium
1622,10,19,6,9,2.2,Medium
1623,9,17,6,1,2.933333333,Medium
1626,25,4,8,3,4.4,Medium
1627,14,7,5,7,3.242857143,Medium
1628,29,2,4,3,2.634482759,Medium
1629,17,13,8,4,3.164705882,Medium
1630,10,2,3,1,4.1,Medium
1634,7,17,6,9,3.885714286,Medium
1642,7,12,6,6,4.885714286,Medium
1643,15,7,6,8,3.6,Medium
1646,20,4,8,7,4.7,Medium
1648,24,2,8,2,4.85,Medium
1650,21,8,8,4,3.828571429,Medium
1653,8,4,2,6,3.95,Medium
1658,15,9,8,2,4.2,Medium
1660,19,3,4,4,2.978947368,Medium
1662,11,9,6,3,3.927272727,Medium
1663,14,2,3,7,3.242857143,Medium
1664,10,15,6,1,3,Medium
1666,15,6,8,8,4.8,Medium
1667,27,14,9,2,2.811111111,Medium
